PWSID,Name,County,FedBgnDt,FedEndDt,VioType,VioName,Analyte,AnalyteCode,count
MO4191461   ,MILLERS MOTOR LODGE,BUTLER,01-Oct-13,31-Oct-13,22,"MCL (TCR), MONTHLY",COLIFORM (TCR)                          ,3100,11
MO4191461   ,MILLERS MOTOR LODGE,BUTLER,01-May-14,31-May-14,22,"MCL (TCR), MONTHLY",COLIFORM (TCR)                          ,3100,11
MO4191461   ,MILLERS MOTOR LODGE,BUTLER,01-Jun-14,30-Jun-14,22,"MCL (TCR), MONTHLY",COLIFORM (TCR)                          ,3100,11
MO4191461   ,MILLERS MOTOR LODGE,BUTLER,01-Dec-14,31-Dec-14,22,"MCL (TCR), MONTHLY",COLIFORM (TCR)                          ,3100,11
MO4191461   ,MILLERS MOTOR LODGE,BUTLER,01-Jun-15,30-Jun-15,22,"MCL (TCR), MONTHLY",COLIFORM (TCR)                          ,3100,11
MO4191461   ,MILLERS MOTOR LODGE,BUTLER,01-Aug-14,31-Aug-14,22,"MCL (TCR), MONTHLY",COLIFORM (TCR)                          ,3100,11
MO4191461   ,MILLERS MOTOR LODGE,BUTLER,01-Apr-15,30-Apr-15,22,"MCL (TCR), MONTHLY",COLIFORM (TCR)                          ,3100,11
MO4191461   ,MILLERS MOTOR LODGE,BUTLER,01-Jan-15,31-Jan-15,22,"MCL (TCR), MONTHLY",COLIFORM (TCR)                          ,3100,11
MO4191461   ,MILLERS MOTOR LODGE,BUTLER,01-Nov-13,30-Nov-13,22,"MCL (TCR), MONTHLY",COLIFORM (TCR)                          ,3100,11
MO4191461   ,MILLERS MOTOR LODGE,BUTLER,01-May-15,31-May-15,22,"MCL (TCR), MONTHLY",COLIFORM (TCR)                          ,3100,11
MO4191461   ,MILLERS MOTOR LODGE,BUTLER,01-Feb-15,28-Feb-15,22,"MCL (TCR), MONTHLY",COLIFORM (TCR)                          ,3100,11
MO3036123   ,BLUE BRANCH IMPROVEMENT ASSOCIATION INC,BENTON,01-Feb-14,28-Feb-14,22,"MCL (TCR), MONTHLY",COLIFORM (TCR)                          ,3100,10
MO3036123   ,BLUE BRANCH IMPROVEMENT ASSOCIATION INC,BENTON,01-Jun-14,30-Jun-14,22,"MCL (TCR), MONTHLY",COLIFORM (TCR)                          ,3100,10
MO3036123   ,BLUE BRANCH IMPROVEMENT ASSOCIATION INC,BENTON,01-Jul-13,31-Jul-13,22,"MCL (TCR), MONTHLY",COLIFORM (TCR)                          ,3100,10
MO3036123   ,BLUE BRANCH IMPROVEMENT ASSOCIATION INC,BENTON,01-Apr-14,30-Apr-14,22,"MCL (TCR), MONTHLY",COLIFORM (TCR)                          ,3100,10
MO3036123   ,BLUE BRANCH IMPROVEMENT ASSOCIATION INC,BENTON,01-Nov-13,30-Nov-13,22,"MCL (TCR), MONTHLY",COLIFORM (TCR)                          ,3100,10
MO3036123   ,BLUE BRANCH IMPROVEMENT ASSOCIATION INC,BENTON,01-Dec-13,31-Dec-13,22,"MCL (TCR), MONTHLY",COLIFORM (TCR)                          ,3100,10
MO3036123   ,BLUE BRANCH IMPROVEMENT ASSOCIATION INC,BENTON,01-Jun-13,30-Jun-13,22,"MCL (TCR), MONTHLY",COLIFORM (TCR)                          ,3100,10
MO3036123   ,BLUE BRANCH IMPROVEMENT ASSOCIATION INC,BENTON,01-Sep-13,30-Sep-13,22,"MCL (TCR), MONTHLY",COLIFORM (TCR)                          ,3100,10
MO3036123   ,BLUE BRANCH IMPROVEMENT ASSOCIATION INC,BENTON,01-Oct-13,31-Oct-13,22,"MCL (TCR), MONTHLY",COLIFORM (TCR)                          ,3100,10
MO3036123   ,BLUE BRANCH IMPROVEMENT ASSOCIATION INC,BENTON,01-Aug-13,31-Aug-13,22,"MCL (TCR), MONTHLY",COLIFORM (TCR)                          ,3100,10
MO4010270   ,FARMINGTON,ST FRANCOIS,01-Sep-14,30-Sep-14,22,"MCL (TCR), MONTHLY",COLIFORM (TCR)                          ,3100,10
MO4010270   ,FARMINGTON,ST FRANCOIS,01-Aug-14,31-Aug-14,22,"MCL (TCR), MONTHLY",COLIFORM (TCR)                          ,3100,10
MO4010270   ,FARMINGTON,ST FRANCOIS,01-Nov-15,30-Nov-15,22,"MCL (TCR), MONTHLY",COLIFORM (TCR)                          ,3100,10
MO4010270   ,FARMINGTON,ST FRANCOIS,01-Oct-15,31-Oct-15,22,"MCL (TCR), MONTHLY",COLIFORM (TCR)                          ,3100,10
MO4010270   ,FARMINGTON,ST FRANCOIS,01-Oct-14,31-Oct-14,22,"MCL (TCR), MONTHLY",COLIFORM (TCR)                          ,3100,10
MO4010270   ,FARMINGTON,ST FRANCOIS,01-Jul-13,31-Jul-13,22,"MCL (TCR), MONTHLY",COLIFORM (TCR)                          ,3100,10
MO4010270   ,FARMINGTON,ST FRANCOIS,01-Jun-14,30-Jun-14,22,"MCL (TCR), MONTHLY",COLIFORM (TCR)                          ,3100,10
MO4010270   ,FARMINGTON,ST FRANCOIS,01-Sep-15,30-Sep-15,22,"MCL (TCR), MONTHLY",COLIFORM (TCR)                          ,3100,10
MO4010270   ,FARMINGTON,ST FRANCOIS,01-Aug-15,31-Aug-15,22,"MCL (TCR), MONTHLY",COLIFORM (TCR)                          ,3100,10
MO4010270   ,FARMINGTON,ST FRANCOIS,01-May-15,31-May-15,22,"MCL (TCR), MONTHLY",COLIFORM (TCR)                          ,3100,10
MO3011121   ,RHINELAND,MONTGOMERY,01-Aug-13,31-Aug-13,22,"MCL (TCR), MONTHLY",COLIFORM (TCR)                          ,3100,9
MO3011121   ,RHINELAND,MONTGOMERY,01-May-14,31-May-14,22,"MCL (TCR), MONTHLY",COLIFORM (TCR)                          ,3100,9
MO3011121   ,RHINELAND,MONTGOMERY,01-Dec-14,31-Dec-14,22,"MCL (TCR), MONTHLY",COLIFORM (TCR)                          ,3100,9
